orden_sacc;orden_sag;familia_sacc;familia_sag;nombre_cientifico_sacc;nombre_cientifico_sag;subespecie_area_estudio;nombre_comun;origen;estatus_migratorio;verano;otono;invierno;primavera
Tinamiformes;Tinamiformes;Tinamidae;Tinamidae;Nothoprocta perdicaria;Nothoprocta perdicaria;no determinada;Perdiz chilena;E;R;X;X;X;X
Anseriformes;Anseriformes;Anatidae;Anatidae;Cygnus melancoryphus;"Cygnus
melanocorypha";monotípica;Cisne de cuello negro;N;R;;;X;
Anseriformes;Anseriformes;Anatidae;Anatidae;Anas georgica;Anas georgica;spinicauda;Pato jergón grande;N;R;;X;X;
Anseriformes;Anseriformes;Anatidae;Anatidae;Anas flavirostris;Anas flavirostris;flavirostris;Pato jergón chico;N;R;;;X;
Galliformes;Galliformes;Odontophoridae;Odontophoridae;Callipepla californica;Callipepla californica;californica;Codorniz;I;R;X;X;X;X
Podicipediformes;Podicipediformes;Podicipedidae;Podicipedidae;Podiceps occipitalis;Podiceps occipitalis;occipitalis;Blanquillo;N;R;X;;;
Columbiformes;Columbiformes;Columbidae;Columbidae;Patagioenas araucana;Columba araucana;monotípica;Torcaza;N;R;X;X;;
Columbiformes;Columbiformes;Columbidae;Columbidae;Zenaida auriculata;Zenaida auriculata;auriculata;Tórtola;N;R;X;X;X;X
Columbiformes;Columbiformes;Columbidae;Columbidae;Columbina picui;Columbina picui;picui;Tortolita cuyana;N;R;X;X;;X
Apodiformes;Apodiformes;Trochilidae;Trochilidae;Sephanoides sephaniodes;Sephanoides galeritus;monotípica;Picaflor chico;N;R;X;X;X;X
Gruiformes;Gruiformes;Rallidae;Rallidae;Porphyriops melanops;Gallinula melanops;crassirostris;Tagüita;N;R;;;X;
Gruiformes;Gruiformes;Rallidae;Rallidae;Pardirallus sanguinolentus;Pardirallus sanguinolentus;landbecki;Pidén;N;R;X;X;X;X
Charadriiformes;Charadriiformes;Recurvirostridae;Recurvirostridae;Himantopus mexicanus;Himantopus melanurus;melanurus;Perrito;N;R;;;X;
Charadriiformes;Charadriiformes;Charadriidae;Charadriidae;Vanellus chilensis;Vanellus chilensis;chilensis;Queltehue;N;R;X;X;X;X
Charadriiformes;Charadriiformes;Scolopacidae;Scolopacidae;Galiinago paraguaiae;Galiinago paraguaiae;magellanica;Becacina;N;R;X;X;X;
Charadriiformes;Charadriiformes;Laridae;Laridae;Larus dominicanus;Larus dominicanus;dominicanus;Gaviota dominicana;N;R;;;X;X
Charadriiformes;Charadriiformes;Laridae;Laridae;Chroicocephalus maculipennis;Larus maculipennis;monotípica;Gaviota cahuil;N;R;;;X;
Pelecaniformes;Ciconiiformes;Ardeidae;Ardeidae;Ardea alba;Casmerodius albus;egretta;Garza grande;N;R;;X;X;X
Pelecaniformes;Ciconiiformes;Ardeidae;Ardeidae;Egretta thula;Egretta thula;thula;Garza chica;N;R;X;;X;X
Pelecaniformes;Ciconiiformes;Ardeidae;Ardeidae;Bubulcus ibis;Bubulcus ibis;ibis;Garza boyera;CN;R;;X;X;X
Pelecaniformes;Ciconiiformes;Ardeidae;Ardeidae;Nycticorax nycticorax;Nycticorax nycticorax;obscurus;Huairavo;N;R;;;X;
Pelecaniformes;Ciconiiformes;Threskiornithidae;Threskiornithidae;Plegadis chihi;Plegadis chihi;monotípica;Cuervo del pantano;N;R;;X;X;
Pelecaniformes;Ciconiiformes;Threskiornithidae;Threskiornithidae;Theristicus melanopis;Theristicus melanopis;melanopis;Bandurria;N;R;X;X;X;X
Cathartiformes;Falconiformes;Cathartidae;Cathartidae;Cathartes aura;Cathartes aura;jota;Jote de cabeza colorada;N;R;X;X;X;X
Cathartiformes;Falconiformes;Cathartidae;Cathartidae;Coragyps atratus;Coragyps atratus;foetens;Jote de cabeza negra;N;R;X;X;X;X
Accipitriformes;Accipitriformes;Accipitridae;Accipitridae;Elanus leucurus;Elanus leucurus;leucurus;Bailarín;N;R;X;X;X;X
Accipitriformes;Accipitriformes;Accipitridae;Accipitridae;Parabuteo unicinctus;Parabuteo unicinctus;unicinctus;Peuco;N;R;X;X;X;X
Accipitriformes;Accipitriformes;Accipitridae;Accipitridae;Circus cinereus;Circus cinereus;monotípica;Vari;N;R;X;;;X
Accipitriformes;Accipitriformes;Accipitridae;Accipitridae;Geranoaetus polyosoma;Buteo polyosoma;polyosoma;Aguilucho;N;R;X;X;X;X
Piciformes;Piciformes;Picidae;Picidae;Veniliornis lignarius;Veniliornis lignarius;monotípica;Carpinterito;N;R;X;X;X;X
Piciformes;Piciformes;Picidae;Picidae;Colaptes pitius;Colaptes pitius;monotípica;Pitío;N;R;X;X;X;X
Falconiformes;Falconiformes;Falconidae;Falconidae;Milvago chimango;Milvago chimango;"no
determinada";Tiuque;N;R;X;X;X;X
Falconiformes;Falconiformes;Falconidae;Falconidae;Caracara plancus;Polyborus plancus;plancus;Traro;N;R;X;X;X;
Falconiformes;Falconiformes;Falconidae;Falconidae;Falco femoralis;Falco femoralis;pichinchae;Halcón perdiguero;N;R;X;X;X;X
Falconiformes;Falconiformes;Falconidae;Falconidae;Falco sparverius;Falco sparverius;cinnamominus;Cernícalo;N;R;X;X;X;X
Strigiformes;Strigiformes;Tytonidae;Tytonidae;Tyto alba;Tyto alba;tuidara;Lechuza;N;R;;;X;
Strigiformes;Strigiformes;Strigidae;Strigidae;Glaucidium nana;Glaucidium nanum;monotípica;Chuncho;N;R;X;X;X;X
Strigiformes;Strigiformes;Strigidae;Strigidae;Bubo virginianus;Bubo virginianus;monotípica;Tucúquere;N;R;;;X;
Caprimulgiformes;Caprimulgiformes;Caprimulgidae;Caprimulgidae;Systellura longirostris;"Caprimulgus
longirostris";bifasciatus;Gallina ciega;N;R;;X;X;X
